,Unnamed: 0,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan,index
206,206,143066,M,2013,Baltimore,Indianapolis,19MF,206
207,207,133122,M,2013,Eugene,Charleston,14MF,207
208,208,185925,F,2013,Boise,Fargo,19MF,208
209,209,93529,F,2013,Providence,Indianapolis,19MF,209
210,210,116129,F,2013,Atlanta,Topeka,19MF,210
211,211,99716,M,2013,Detroit,Indianapolis,19MF,211
212,212,68470,M,2013,Charleston,Newark,19MF,212
213,213,203302,F,2013,Providence,Nashville,19MF,213
214,214,166498,M,2013,Baltimore,Topeka,19MF,214
215,215,201133,M,2013,Tulsa,Newark,19MF,215
216,216,188598,M,2013,Santa Fe,Topeka,14MF,216
217,217,158171,F,2013,Tulsa,Indianapolis,19MF,217
218,218,121094,F,2013,Providence,Fargo,19MF,218
219,219,188306,M,2013,Baltimore,Detroit,14MF,219
220,220,2829,M,2013,Nashville,Nashville,19MF,220
221,221,85125,F,2013,Baltimore,Newark,19MF,221
222,222,98575,M,2013,Baltimore,Nashville,10MF,222
223,223,26450,M,2013,Eugene,Detroit,19MF,223
224,224,70242,M,2013,Detroit,Detroit,19MF,224
225,225,145047,M,2013,Providence,Scranton,19MF,225
226,226,55787,F,2013,Eugene,Fargo,19MF,226
227,227,131439,M,2013,Eugene,Detroit,19MF,227
228,228,6394,F,2013,Providence,Topeka,19MF,228
229,229,182774,F,2013,Providence,Detroit,14MF,229
230,230,61436,M,2013,Providence,Scranton,19MF,230
231,231,122350,M,2013,Eugene,Charleston,19MF,231
232,232,39010,M,2013,Baltimore,Nashville,19MF,232
233,233,56164,F,2013,Dallas,Charleston,19MF,233
234,234,22885,M,2013,Providence,Nashville,10MF,234
235,235,62097,M,2013,Hartford,Nashville,19MF,235
236,236,103665,F,2013,Eugene,Fargo,19MF,236
237,237,93431,F,2013,Providence,Detroit,10MF,237
238,238,189593,F,2013,Providence,Newark,14MF,238
239,239,136947,F,2013,Detroit,Topeka,19MF,239
240,240,101395,M,2013,New York,Fargo,19MF,240
241,241,173501,F,2013,Santa Fe,Topeka,19MF,241
242,242,125090,F,2013,Providence,Indianapolis,19MF,242
243,243,142931,M,2013,Providence,Nashville,10MF,243
244,244,137674,F,2013,New York,Indianapolis,10MF,244
245,245,144307,M,2013,Columbus,Nashville,19MF,245
246,246,103484,M,2013,Baltimore,Fargo,19MF,246
247,247,42219,F,2013,Scranton,Nashville,19MF,247
248,248,107777,M,2013,Providence,Detroit,19MF,248
249,249,108000,F,2013,Providence,Indianapolis,14MF,249
250,250,177402,F,2013,Tulsa,Detroit,19MF,250
251,251,58857,M,2013,Columbus,Nashville,19MF,251
252,252,142528,F,9999,Baltimore,,14MF,252
253,253,71751,F,9999,New Orleans,,19MF,253
254,254,73997,F,9999,New Orleans,,19MF,254
255,255,144659,M,2011,Baltimore,Indianapolis,14MF,255
256,256,99420,F,2011,New York,Nashville,10MF,256
257,257,74381,M,2011,Baltimore,Nashville,14MF,257
258,258,34712,F,2011,Baltimore,Indianapolis,19MF,258
259,259,183158,M,2011,Baltimore,Nashville,19MF,259
260,260,92233,M,2011,Baltimore,Indianapolis,19MF,260
261,261,145506,M,2011,Baltimore,Scranton,19MF,261
262,262,110214,F,2011,Columbus,Charleston,19MF,262
263,263,15417,F,2012,Providence,Newark,19MF,263
264,264,191921,F,2012,New York,Charleston,19MF,264
265,265,208390,M,2012,Providence,Detroit,14MF,265
266,266,128939,M,2012,Atlanta,Detroit,19MF,266
267,267,39867,F,2012,New York,Indianapolis,19MF,267
268,268,194761,M,2012,Providence,Fargo,19MF,268
269,269,37397,M,2012,Providence,Scranton,14MF,269
270,270,118947,F,2012,New York,Scranton,19MF,270
271,271,158188,M,2012,New York,Charleston,19MF,271
272,272,133942,F,2012,Providence,Providence,19MF,272
273,273,111062,F,2012,Seattle,Nashville,10MF,273
274,274,9346,M,2012,New York,Nashville,19MF,274
275,275,161671,M,2012,Providence,Indianapolis,19MF,275
276,276,159917,M,2012,New York,Fargo,19MF,276
277,277,52134,M,2012,Columbus,Scranton,14MF,277
278,278,76358,M,2012,New York,Scranton,14MF,278
279,279,33646,M,2012,New York,Fargo,14MF,279
280,280,82916,F,2012,New York,Topeka,14MF,280
281,281,74462,F,2012,New York,Fargo,19MF,281
282,282,138143,M,2012,Baltimore,Charleston,19MF,282
283,283,53085,M,2012,New York,Scranton,14MF,283
284,284,136992,M,2012,New York,Charleston,19MF,284
285,285,101480,F,2012,New York,Indianapolis,19MF,285
286,286,19107,F,2012,New York,Nashville,19MF,286
287,287,132186,M,2012,Columbus,Topeka,19MF,287
288,288,126551,F,2012,New York,Topeka,19MF,288
289,289,206267,M,2012,Columbus,Scranton,19MF,289
290,290,87659,M,2012,Baltimore,Nashville,14MF,290
291,291,22570,F,2012,New York,New York,14MF,291
292,292,201933,M,2012,Columbus,Charleston,14MF,292
293,293,51405,M,2012,Providence,Nashville,19MF,293
294,294,160907,M,2012,Tulsa,Detroit,10MF,294
295,295,71156,F,2012,Topeka,Fargo,19MF,295
296,296,18102,M,2012,New York,Indianapolis,14MF,296
297,297,82367,F,2012,New York,Detroit,19MF,297
298,298,177043,F,2012,Tulsa,Detroit,14MF,298
299,299,169903,F,2012,Baltimore,Fargo,19MF,299
300,300,123192,F,2012,New York,Fargo,19MF,300
301,301,108841,F,2012,New York,Scranton,19MF,301
302,302,46846,M,2012,New York,Topeka,14MF,302
303,303,206994,F,2012,New York,Indianapolis,14MF,303
304,304,47219,M,2012,Providence,Detroit,19MF,304
305,305,100918,M,2012,Columbus,Newark,14MF,305
306,306,191772,M,2012,Indianapolis,Indianapolis,14MF,306
307,307,52652,F,2012,New York,Detroit,19MF,307
308,308,179829,M,2012,New York,Detroit,19MF,308
309,309,188266,F,2012,Columbus,Fargo,19MF,309
310,310,61688,M,2012,New York,Indianapolis,19MF,310
311,311,6645,F,2012,New York,Charleston,19MF,311
312,312,91118,F,2012,New York,Detroit,19MF,312
313,313,5111,F,2012,New York,Nashville,19MF,313
314,314,125571,F,2012,New York,Topeka,19MF,314
315,315,7981,F,2012,New York,Fargo,14MF,315
316,316,54543,F,2012,New York,Charleston,19MF,316
317,317,134335,M,2012,Eugene,Nashville,14MF,317
318,318,109945,F,2012,Providence,Nashville,10MF,318
319,319,67785,F,2012,New York,Newark,19MF,319
320,320,68222,M,2012,New York,Indianapolis,19MF,320
321,321,170818,M,2012,New York,Indianapolis,14MF,321
322,322,193034,M,2012,New York,Topeka,19MF,322
323,323,35601,F,2012,Baltimore,Fargo,9MF,323
324,324,116383,M,2012,New York,Fargo,19MF,324
325,325,166806,M,2012,Nashville,Scranton,14MF,325
326,326,124941,F,2012,Providence,Nashville,10MF,326
327,327,74597,M,2012,Columbus,Indianapolis,14MF,327
328,328,199402,F,2012,Nashville,Nashville,19MF,328
329,329,75679,M,2012,Baltimore,Fargo,14MF,329
330,330,12712,F,2012,New York,Topeka,19MF,330
331,331,166339,M,2012,New York,Indianapolis,19MF,331
332,332,191070,F,2012,New York,Indianapolis,10MF,332
333,333,202103,M,2012,New York,Newark,14MF,333
334,334,79467,M,2012,New York,Nashville,14MF,334
335,335,185323,M,2012,Columbus,Scranton,19MF,335
336,336,147487,F,2012,Baltimore,Fargo,19MF,336
337,337,37444,F,2012,New York,Indianapolis,19MF,337
338,338,42645,M,2012,New York,Indianapolis,19MF,338
339,339,25336,F,2012,New York,Scranton,19MF,339
340,340,85596,M,2012,Birmingham,Fargo,14MF,340
341,341,105143,F,2012,Eugene,Nashville,14MF,341
342,342,130636,M,2012,New York,Nashville,14MF,342
343,343,102406,F,2012,Eugene,Nashville,19MF,343
344,344,59994,F,2012,New York,Indianapolis,19MF,344
345,345,113922,F,2012,New York,Charleston,19MF,345
346,346,75973,F,2012,New York,Scranton,19MF,346
347,347,33811,M,2012,Eugene,Detroit,19MF,347
348,348,157927,M,2012,Baltimore,Fargo,19MF,348
349,349,135843,F,2012,Baltimore,Indianapolis,19MF,349
350,350,177096,M,2012,New York,Topeka,14MF,350
351,351,89926,M,2012,Columbus,Nashville,14MF,351
352,352,130386,F,2012,Baltimore,Fargo,19MF,352
353,353,115349,F,2012,Providence,Topeka,19MF,353
354,354,127168,F,2012,New York,Nashville,19MF,354
355,355,16527,F,2012,Columbus,Newark,19MF,355
356,356,63019,M,2012,Baltimore,Nashville,19MF,356
357,357,59371,F,2012,Baltimore,Fargo,19MF,357
358,358,125665,M,2012,New York,Fargo,19MF,358
359,359,170187,M,2012,Baltimore,Topeka,19MF,359
360,360,170055,F,2012,Baltimore,Fargo,19MF,360
361,361,70800,F,2012,Baltimore,Nashville,19MF,361
362,362,126781,F,2012,Seattle,Detroit,10MF,362
363,363,54141,M,2012,Columbus,Indianapolis,19MF,363
364,364,181821,M,2012,Providence,Detroit,19MF,364
365,365,211298,F,2012,Baltimore,Nashville,19MF,365
366,366,21601,F,2012,New York,Detroit,19MF,366
367,367,138718,M,2012,Columbus,Detroit,14MF,367
368,368,27101,M,2012,New York,Fargo,10MF,368
369,369,107783,M,2012,New York,Detroit,9MF,369
370,370,104030,F,2012,New York,Topeka,10MF,370
371,371,199971,F,2012,Baltimore,Indianapolis,19MF,371
372,372,188898,F,2012,Baltimore,Fargo,19MF,372
373,373,106099,M,2012,New York,Fargo,19MF,373
374,374,101201,M,2012,New York,Scranton,14MF,374
375,375,77110,M,2012,Providence,Charleston,19MF,375
376,376,24283,F,2012,New York,Nashville,19MF,376
377,377,152540,F,2012,New York,Indianapolis,19MF,377
378,378,205820,F,2012,Providence,Nashville,19MF,378
379,379,176010,F,2012,Baltimore,Fargo,19MF,379
380,380,3474,F,2012,New York,Fargo,14MF,380
381,381,35666,M,2012,New York,Indianapolis,19MF,381
382,382,150951,F,2012,New York,Charleston,19MF,382
383,383,21074,M,2012,Columbus,Indianapolis,14MF,383
384,384,124378,F,2012,New York,Newark,14MF,384
385,385,110383,M,2012,Columbus,Topeka,14MF,385
386,386,61705,M,2012,Baltimore,Fargo,19MF,386
387,387,95525,F,2012,Baltimore,Fargo,19MF,387
388,388,39528,F,2012,Providence,Topeka,14MF,388
389,389,113616,M,2012,Providence,Topeka,14MF,389
390,390,211211,M,2012,Providence,Indianapolis,14MF,390
391,391,100535,M,2012,New York,Scranton,14MF,391
392,392,88931,F,2012,New York,Newark,19MF,392
393,393,62306,F,2012,Santa Fe,Fargo,10MF,393
394,394,157955,F,2012,New York,Topeka,19MF,394
395,395,206694,F,2012,Columbus,Scranton,,395
396,396,120164,M,2012,New York,Nashville,19MF,396
397,397,169810,F,2012,New York,Nashville,19MF,397
398,398,103163,F,2012,New York,Detroit,19MF,398
399,399,23943,F,2012,New York,Newark,14MF,399
400,400,169022,F,2012,New York,Charleston,14MF,400
401,401,133117,F,2012,New York,Indianapolis,14MF,401
402,402,134443,F,2012,New York,Scranton,19MF,402
403,403,66196,F,2012,Providence,Indianapolis,14MF,403
404,404,120483,M,2012,Baltimore,Topeka,14MF,404
405,405,119039,F,2012,Providence,Nashville,19MF,405
406,406,131695,M,2012,New York,Newark,14MF,406
407,407,83061,F,2012,New York,Detroit,14MF,407
408,408,45840,M,2012,Providence,Topeka,19MF,408
409,409,134339,M,2012,Baltimore,Detroit,19MF,409
410,410,20363,M,2012,Columbus,Indianapolis,19MF,410
411,411,139632,M,2012,New York,Topeka,19MF,411
412,412,118345,F,2012,Baltimore,Fargo,19MF,412
413,413,43758,M,2012,Columbus,Newark,14MF,413
414,414,53369,M,2012,New York,Detroit,14MF,414
415,415,17898,F,2012,New York,Newark,19MF,415
416,416,157809,F,2012,Columbus,Topeka,19MF,416
417,417,84449,F,2012,Providence,Fargo,19MF,417
418,418,118082,F,2012,New York,Detroit,14MF,418
419,419,153384,F,2012,New York,Topeka,19MF,419
420,420,69276,M,2012,New York,Scranton,19MF,420
421,421,102524,M,2012,New York,Scranton,19MF,421
422,422,169442,M,2012,New York,Charleston,19MF,422
423,423,33170,F,2012,New York,Charleston,19MF,423
424,424,38995,F,2012,Baltimore,Nashville,19MF,424
425,425,132390,M,2012,Baltimore,Charleston,10MF,425
426,426,57317,F,2012,Dallas,Detroit,14MF,426
427,427,167311,M,2012,Baltimore,Scranton,14MF,427
428,428,127103,M,2012,New York,Scranton,19MF,428
429,429,195382,M,2012,New York,Nashville,19MF,429
430,430,178136,F,2012,New York,Nashville,19MF,430
431,431,96430,F,2012,Providence,Scranton,14MF,431
432,432,157975,F,2012,New York,Indianapolis,14MF,432
433,433,116458,F,2012,Tulsa,Fargo,,433
434,434,92949,M,2012,Atlanta,Charleston,19MF,434
435,435,108655,M,2012,Nashville,Detroit,19MF,435
436,436,146866,F,2012,New York,Detroit,19MF,436
437,437,3829,M,2012,New York,Indianapolis,19MF,437
438,438,20671,F,2012,New York,Scranton,14MF,438
439,439,171903,M,2012,Providence,Scranton,19MF,439
440,440,192579,F,2012,New York,Charleston,14MF,440
441,441,95097,M,2012,New York,Topeka,19MF,441
442,442,46137,M,2012,New York,Scranton,14MF,442
443,443,204548,M,2012,Scranton,Scranton,19MF,443
444,444,193972,M,2012,Baltimore,Fargo,14MF,444
445,445,135844,M,2012,Providence,Topeka,19MF,445
446,446,199921,F,2012,Atlanta,Newark,19MF,446
447,447,61240,M,2012,New York,Topeka,19MF,447
448,448,174327,F,2012,New York,Indianapolis,19MF,448
449,449,168761,F,2012,New York,Newark,19MF,449
450,450,203666,F,2012,Eugene,Nashville,19MF,450
451,451,198152,M,2012,Baltimore,Fargo,19MF,451
452,452,36325,F,2012,New York,Fargo,19MF,452
453,453,206976,M,2012,Providence,Providence,14MF,453
454,454,113298,M,2012,New York,Scranton,19MF,454
455,455,163277,F,2012,New York,Charleston,14MF,455
456,456,162364,M,2012,Columbus,Indianapolis,14MF,456
457,457,141556,F,2012,New York,Detroit,19MF,457
458,458,172685,M,2012,Providence,Newark,14MF,458
459,459,151542,M,2012,Providence,Topeka,14MF,459
460,460,17294,F,2012,New York,Scranton,19MF,460
461,461,20850,M,2012,New York,Topeka,14MF,461
462,462,23851,M,2012,New York,Topeka,19MF,462
463,463,96734,F,2012,Newark,Detroit,19MF,463
464,464,12740,M,2012,New York,Topeka,14MF,464
465,465,179408,F,2012,Eugene,Nashville,14MF,465
466,466,132504,F,2012,New York,Charleston,19MF,466
467,467,150240,F,2012,Columbus,Detroit,19MF,467
468,468,33672,M,2012,Providence,Topeka,14MF,468
469,469,30999,M,2012,New York,Charleston,19MF,469
470,470,539,F,2012,Eugene,Detroit,19MF,470
471,471,134883,M,2012,Baltimore,Fargo,19MF,471
472,472,206237,M,2012,New York,Scranton,19MF,472
473,473,1064,F,2012,Baltimore,Detroit,14MF,473
474,474,18166,F,2012,Baltimore,Fargo,14MF,474
475,475,52431,M,2012,New York,Nashville,19MF,475
476,476,195989,M,2012,New York,Newark,19MF,476
477,477,145308,F,2012,New York,Fargo,19MF,477
478,478,121000,M,2012,Providence,Indianapolis,19MF,478
479,479,3617,M,2012,Tulsa,Topeka,14MF,479
480,480,31014,F,2012,New York,Nashville,19MF,480
481,481,43535,M,2012,New York,Newark,14MF,481
482,482,105767,F,2012,New York,Detroit,19MF,482
483,483,195659,F,2012,Tulsa,Scranton,,483
484,484,151287,F,2012,New York,Indianapolis,19MF,484
485,485,59759,F,2012,Providence,Charleston,10MF,485
486,486,151940,M,2012,Columbus,Indianapolis,14MF,486
487,487,161410,M,2012,New York,Nashville,14MF,487
488,488,73642,F,2012,Baltimore,Fargo,19MF,488
489,489,49133,F,2012,New York,Indianapolis,10MF,489
490,490,94846,F,2012,New York,Charleston,19MF,490
491,491,16583,F,2012,New York,Indianapolis,14MF,491
492,492,132670,F,2012,New York,Newark,19MF,492
493,493,107098,M,2012,New York,Charleston,19MF,493
494,494,45693,M,2012,New York,Detroit,19MF,494
495,495,50509,M,2012,New York,Scranton,14MF,495
496,496,90323,F,2012,Baltimore,Fargo,19MF,496
497,497,152881,M,2012,New York,Indianapolis,14MF,497
498,498,22029,M,2012,New York,Charleston,19MF,498
499,499,150603,F,2012,New York,Newark,19MF,499
500,500,2803,M,2012,Columbus,Newark,14MF,500
501,501,8659,M,2012,New York,Scranton,19MF,501
502,502,183740,F,2012,Baltimore,Indianapolis,14MF,502
