,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan
271,158188,M,2012,New York,Charleston,19MF
272,133942,F,2012,Providence,Providence,19MF
273,111062,F,2012,Seattle,Nashville,10MF
274,9346,M,2012,New York,Nashville,19MF
275,161671,M,2012,Providence,Indianapolis,19MF
276,159917,M,2012,New York,Fargo,19MF
277,52134,M,2012,Columbus,Scranton,14MF
278,76358,M,2012,New York,Scranton,14MF
279,33646,M,2012,New York,Fargo,14MF
280,82916,F,2012,New York,Topeka,14MF
281,74462,F,2012,New York,Fargo,19MF
282,138143,M,2012,Baltimore,Charleston,19MF
283,53085,M,2012,New York,Scranton,14MF
284,136992,M,2012,New York,Charleston,19MF
285,101480,F,2012,New York,Indianapolis,19MF
286,19107,F,2012,New York,Nashville,19MF
287,132186,M,2012,Columbus,Topeka,19MF
288,126551,F,2012,New York,Topeka,19MF
289,206267,M,2012,Columbus,Scranton,19MF
290,87659,M,2012,Baltimore,Nashville,14MF
291,22570,F,2012,New York,New York,14MF
292,201933,M,2012,Columbus,Charleston,14MF
293,51405,M,2012,Providence,Nashville,19MF
294,160907,M,2012,Tulsa,Detroit,10MF
295,71156,F,2012,Topeka,Fargo,19MF
296,18102,M,2012,New York,Indianapolis,14MF
297,82367,F,2012,New York,Detroit,19MF
298,177043,F,2012,Tulsa,Detroit,14MF
299,169903,F,2012,Baltimore,Fargo,19MF
300,123192,F,2012,New York,Fargo,19MF
301,108841,F,2012,New York,Scranton,19MF
302,46846,M,2012,New York,Topeka,14MF
303,206994,F,2012,New York,Indianapolis,14MF
304,47219,M,2012,Providence,Detroit,19MF
305,100918,M,2012,Columbus,Newark,14MF
306,191772,M,2012,Indianapolis,Indianapolis,14MF
307,52652,F,2012,New York,Detroit,19MF
308,179829,M,2012,New York,Detroit,19MF
309,188266,F,2012,Columbus,Fargo,19MF
310,61688,M,2012,New York,Indianapolis,19MF
311,6645,F,2012,New York,Charleston,19MF
312,91118,F,2012,New York,Detroit,19MF
313,5111,F,2012,New York,Nashville,19MF
314,125571,F,2012,New York,Topeka,19MF
315,7981,F,2012,New York,Fargo,14MF
316,54543,F,2012,New York,Charleston,19MF
317,134335,M,2012,Eugene,Nashville,14MF
318,109945,F,2012,Providence,Nashville,10MF
319,67785,F,2012,New York,Newark,19MF
320,68222,M,2012,New York,Indianapolis,19MF
321,170818,M,2012,New York,Indianapolis,14MF
322,193034,M,2012,New York,Topeka,19MF
323,35601,F,2012,Baltimore,Fargo,9MF
324,116383,M,2012,New York,Fargo,19MF
325,166806,M,2012,Nashville,Scranton,14MF
326,124941,F,2012,Providence,Nashville,10MF
327,74597,M,2012,Columbus,Indianapolis,14MF
328,199402,F,2012,Nashville,Nashville,19MF
329,75679,M,2012,Baltimore,Fargo,14MF
330,12712,F,2012,New York,Topeka,19MF
331,166339,M,2012,New York,Indianapolis,19MF
332,191070,F,2012,New York,Indianapolis,10MF
333,202103,M,2012,New York,Newark,14MF
334,79467,M,2012,New York,Nashville,14MF
335,185323,M,2012,Columbus,Scranton,19MF
336,147487,F,2012,Baltimore,Fargo,19MF
337,37444,F,2012,New York,Indianapolis,19MF
338,42645,M,2012,New York,Indianapolis,19MF
339,25336,F,2012,New York,Scranton,19MF
340,85596,M,2012,Birmingham,Fargo,14MF
341,105143,F,2012,Eugene,Nashville,14MF
342,130636,M,2012,New York,Nashville,14MF
343,102406,F,2012,Eugene,Nashville,19MF
344,59994,F,2012,New York,Indianapolis,19MF
345,113922,F,2012,New York,Charleston,19MF
346,75973,F,2012,New York,Scranton,19MF
347,33811,M,2012,Eugene,Detroit,19MF
348,157927,M,2012,Baltimore,Fargo,19MF
349,135843,F,2012,Baltimore,Indianapolis,19MF
350,177096,M,2012,New York,Topeka,14MF
351,89926,M,2012,Columbus,Nashville,14MF
352,130386,F,2012,Baltimore,Fargo,19MF
353,115349,F,2012,Providence,Topeka,19MF
354,127168,F,2012,New York,Nashville,19MF
355,16527,F,2012,Columbus,Newark,19MF
356,63019,M,2012,Baltimore,Nashville,19MF
357,59371,F,2012,Baltimore,Fargo,19MF
358,125665,M,2012,New York,Fargo,19MF
359,170187,M,2012,Baltimore,Topeka,19MF
360,170055,F,2012,Baltimore,Fargo,19MF
361,70800,F,2012,Baltimore,Nashville,19MF
362,126781,F,2012,Seattle,Detroit,10MF
363,54141,M,2012,Columbus,Indianapolis,19MF
364,181821,M,2012,Providence,Detroit,19MF
365,211298,F,2012,Baltimore,Nashville,19MF
366,21601,F,2012,New York,Detroit,19MF
367,138718,M,2012,Columbus,Detroit,14MF
368,27101,M,2012,New York,Fargo,10MF
369,107783,M,2012,New York,Detroit,9MF
370,104030,F,2012,New York,Topeka,10MF
371,199971,F,2012,Baltimore,Indianapolis,19MF
372,188898,F,2012,Baltimore,Fargo,19MF
373,106099,M,2012,New York,Fargo,19MF
374,101201,M,2012,New York,Scranton,14MF
375,77110,M,2012,Providence,Charleston,19MF
376,24283,F,2012,New York,Nashville,19MF
377,152540,F,2012,New York,Indianapolis,19MF
378,205820,F,2012,Providence,Nashville,19MF
379,176010,F,2012,Baltimore,Fargo,19MF
380,3474,F,2012,New York,Fargo,14MF
381,35666,M,2012,New York,Indianapolis,19MF
382,150951,F,2012,New York,Charleston,19MF
383,21074,M,2012,Columbus,Indianapolis,14MF
384,124378,F,2012,New York,Newark,14MF
385,110383,M,2012,Columbus,Topeka,14MF
386,61705,M,2012,Baltimore,Fargo,19MF
387,95525,F,2012,Baltimore,Fargo,19MF
388,39528,F,2012,Providence,Topeka,14MF
389,113616,M,2012,Providence,Topeka,14MF
390,211211,M,2012,Providence,Indianapolis,14MF
391,100535,M,2012,New York,Scranton,14MF
392,88931,F,2012,New York,Newark,19MF
393,62306,F,2012,Santa Fe,Fargo,10MF
394,157955,F,2012,New York,Topeka,19MF
395,206694,F,2012,Columbus,Scranton,
396,120164,M,2012,New York,Nashville,19MF
397,169810,F,2012,New York,Nashville,19MF
398,103163,F,2012,New York,Detroit,19MF
399,23943,F,2012,New York,Newark,14MF
400,169022,F,2012,New York,Charleston,14MF
401,133117,F,2012,New York,Indianapolis,14MF
402,134443,F,2012,New York,Scranton,19MF
403,66196,F,2012,Providence,Indianapolis,14MF
404,120483,M,2012,Baltimore,Topeka,14MF
405,119039,F,2012,Providence,Nashville,19MF
406,131695,M,2012,New York,Newark,14MF
407,83061,F,2012,New York,Detroit,14MF
408,45840,M,2012,Providence,Topeka,19MF
409,134339,M,2012,Baltimore,Detroit,19MF
410,20363,M,2012,Columbus,Indianapolis,19MF
411,139632,M,2012,New York,Topeka,19MF
412,118345,F,2012,Baltimore,Fargo,19MF
413,43758,M,2012,Columbus,Newark,14MF
414,53369,M,2012,New York,Detroit,14MF
